(x) (t) (teta) (y)
50 0 7.1781 71.0571
50 0.1 7.05485 71.3187
50 0.2 6.9316 71.5705
50 0.3 6.80835 71.8025
50 0.4 6.6851 72.0035
50 0.5 6.56185 72.1623
50 0.6 6.4386 72.269
50 0.7 6.31535 72.3165
50 0.8 6.19211 72.3015
50 0.9 6.06886 72.2251
50 1 5.94561 72.0924
50 1.1 5.82236 71.912
50 1.2 5.69911 71.6948
50 1.3 5.57586 71.452
50 1.4 5.45261 71.1943
50 1.5 5.32936 70.931
50 1.6 5.20611 70.6691
50 1.7 5.08286 70.4136
50 1.8 4.95961 70.168
50 1.9 4.83636 69.9343
50 2 4.71311 69.7141
50 2.1 4.58986 69.5085
50 2.2 4.46662 69.3182
50 2.3 4.34337 69.1441
50 2.4 4.22012 68.9866
50 2.5 4.09687 68.8457
50 2.6 3.97362 68.7213
50 2.7 3.85037 68.6134
50 2.8 3.72712 68.5217
50 2.9 3.60387 68.4465
50 3 3.48062 68.388
50 3.1 3.35737 68.347
50 3.2 3.23412 68.3239
50 3.3 3.11087 68.3193
50 3.4 2.98763 68.3331
50 3.5 2.86438 68.3652
50 3.6 2.74113 68.415
50 3.7 2.61788 68.4819
50 3.8 2.49463 68.5654
50 3.9 2.37138 68.6652
50 4 2.24813 68.7812
50 4.1 2.12488 68.9138
50 4.2 2.00163 69.063
50 4.3 1.87838 69.2289
50 4.4 1.75513 69.4111
50 4.5 1.63188 69.6091
50 4.6 1.50863 69.8221
50 4.7 1.38539 70.0492
50 4.8 1.26214 70.2891
50 4.9 1.13889 70.5399
50 5 1.01564 70.7991
50 5.1 0.892389 71.0625
50 5.2 0.769139 71.324
50 5.3 0.64589 71.5755
50 5.4 0.522641 71.807
50 5.5 0.399392 72.0073
50 5.6 0.276143 72.1651
50 5.7 0.152894 72.2706
50 5.8 0.0296445 72.3169
50 5.9 -0.093605 72.3006
50 6 -0.216854 72.2229
50 6.1 -0.340103 72.0891
50 6.2 -0.463352 71.9079
50 6.3 -0.586602 71.69
50 6.4 -0.709851 71.4468
50 6.5 -0.8331 71.189
50 6.6 -0.956349 70.9256
50 6.7 -1.0796 70.6638
50 6.8 -1.20285 70.4085
50 6.9 -1.3261 70.1631
50 7 -1.44935 69.9297
50 7.1 -1.5726 69.7098
50 7.2 -1.69584 69.5044
50 7.3 -1.81909 69.3145
50 7.4 -1.94234 69.1407
50 7.5 -2.06559 68.9835
50 7.6 -2.18884 68.8429
50 7.7 -2.31209 68.719
50 7.79999 -2.43534 68.6113
50 7.89999 -2.55859 68.52
50 7.99999 -2.68184 68.4451
50 8.09999 -2.80509 68.387
50 8.2 -2.92834 68.3463
50 8.3 -3.05159 68.3236
50 8.4 -3.17484 68.3194
50 8.5 -3.29809 68.3336
50 8.6 -3.42134 68.3661
50 8.7 -3.54459 68.4162
50 8.8 -3.66784 68.4834
50 8.9 -3.79108 68.5673
50 9 -3.91433 68.6674
50 9.1 -4.03758 68.7838
50 9.2 -4.16083 68.9167
50 9.3 -4.28408 69.0663
50 9.4 -4.40733 69.2325
50 9.5 -4.53058 69.415
50 9.6 -4.65383 69.6133
50 9.7 -4.77708 69.8267
50 9.8 -4.90033 70.054
50 9.9 -5.02358 70.2941
